sentence,label
fabricate radiator stands,s
hoist blower 6 tripping out,h
fit full set of lug tyres only 0,h
hitch hose needs replaced,h
cabin controls oil temp gauge u/s,s
wtr pump shaft must be repl,h
change out w/pump sft unserviceable,h
hand is cracked,s
leak found in fan pump oil,s
replace bucket pins & bushes,h
wiper motor hose needs oil leak repair,h
replace leaking a/c fan pmp,h
assisted vistacam,h
centrifuge hose requires repair,s
replace charge hose leaking oil,s
crack in windscreen,s
diagnose and repair spray faults,s
cable unwrap from tub,s
1000h mech insp trk roll 2 rh,h
moderate eng oil leak,h
tool inspection paul,h
service mcc tripping,h
weeing found on slew pump hose,s
send tyre to mes for rebuild,h
dropped cellin batt,h
window frame requires loctite,h
swing brake hose is in need of rep,s
2 weekly scheduled servicing tbc,s
roller need 2 change out,s
seat loose,s
weeping hose,s
slew pump oil was found,s
roof heater hose found weeping,s
engine shut fault,h
replace bottom steer shaft universal,s
c/o 2ndery parkbrake release hos,s
water in dash fault,s
replace worn bogie pads,h
leak in hst brk. hose,h
repl missing boom locking pins,h
inverter batteriesare not charged,s
ss0308-c/out turbo primary lft frnt,s
coolant pipe clamps require loctite,h
fix earthing out hoist blower inverter,s
repair carcks on cross braces,h
d/line air conditioner not producing cold,h
#2 swing gearcase re-build,s
repair hyd tank cover,h
puchase up et programs and a,h
repl rhs corner tooth,s
d/rope pump hose has leak,s
steering pump oil leaks,s
loctite needed on brk pump bolt,h
repair crack in boom chofd,h
noise fr hydraulic lift cylind.,h
clar hr air con servic,s
parts washer pump chip sensor alarm,s
replace leaking alternator drv,s
repair leak in sldw brake pmp,s
apply loctite on clamps,h
fire ext requires service,s
controller filter needs rep worn,h
0 teemp alarms up at same time,h
roll l/hand drag chain 180deg,s
filter hose requires fitting,s
boarding ladder is not wor king,s
loctite needed on differential pump bolt,s
steering hose worn,h
526upper lh deflection sheave brg grease,s
rep crack in rock deflector,h
sm2291-fire suppression inspection,s
replace diff pressure sensor,h
drain swing shaft 8 tray &clean up oil,h
leak of hydoil from cooler fan hose,h
auto-lube system fault,h
oil pressure gauge not working,h
leak under roto,h
leak in condenser fan hose,h
replace a/c vent louver,h
replace cracked glass window,s
oil leaking fr brk filter hose,h
no grease in dogbone pin,h
uq9701- c/out steering ball studs,s
fuel leaking fr. fan pump,s
cracked engi cover,s
swing faults /change out motor,s
hoist brk hose needs 2 be cleaned,s
leaking pipe on front of power divider,h
cw replace u/s engine scavengeg,h
blade offset switch fault,h
propel no3 motor o/haul-elec/mech,s
repair leak in hmu hose,h
install hand returns,h
repair ride control&oil leaks,s
emergency lighting audit elect,s
cab needs resealing,h
mr0229-c/out # 75 faulty injector ass,h
end for end drag chains d/line,h
tx has oil leak,h
cracked w/dow,h
