disregards stop instruction
continues running despite stop command
ignoring stop input
unresponsive to stop command
fails to acknowledge stop command
ignores stop request
does not cease
ignores stop signal
fails to stop as intended
disregards stop input
stuck in operation
disregards stop request
unintentionally ongoing operation
fails to halt
keeps going
does not respond
unintentionally running continuously
unintentionally continuous operation
unintentionally prolonged operation
continues running without stopping
unintentionally persistent operation
keeps operating without stop command
ignores stop order
unaffected by stop command
unintentionally sustained operation
continues operation without stop signal
does not halt when required
unintentionally keeps running
disregards stop signal
continues operating blindly
fails to terminate operation
not stopping when commanded
