blow
defective switch
needs to be held down
disconnected hose
loose rivet
not open
dislodged component
damaged seal
cracked panel
loose screw
corroded rod
loose chain
loose bracket
loose spring
needs repacked
cracked wheel
disconnected cable
missing screw
corroded bracket
cracked pipe
defective valve
corroded terminal
cracked gear
defective bearing
loose clamp
needs to be extended
corroded surface
loose nut
missing part
missing washer
requires attention
cracked frame
defective gasket
blown out
requires repacking
fell off
loose pin
loose connection
disconnected wire
need a descale
cracked casing
loose fitting
cracked cover
cracked belt
missing label
loose hose
loose joint
loose bolt
