shifting values
oscillating behavior
sporadic operation
variable behavior
fluctuating operation
erratic output
changing rapidly
unpredictable output
unreliable output
variable output
intermittent operation
random behavior
unreliable behavior
flashing on and off
unpredictable fluctuations
flashing intermittently
erratic readings
random spikes and drops
spiking and dropping
inconsistent performance
unpredictable behavior
unstable readings
unpredictable values
variable performance
fluctuating readings
unreliable operation
unpredictable operation
unstable values
unsteady readings
intermittent output
inconsistent behavior
unsteady behavior
jumping values
erratic performance
unsteady performance
unstable performance
fluctuating behavior
oscillating output
fluctuating values
variable operation
changing erratically
sporadic readings
flashing irregularly
irregular functioning
unstable operation
intermittent behavior
random fluctuations
unsteady values
unreliable readings
unsteady output
irregular operation
erratic behavior
fluctuating output
random operation
inconsistent output
variable readings
inconstant behavior
