reading jumping
abnormal sensor readings
spiking randomly
random readings
reading unstable
inconsistent values
displaying abnormalities
unstable readings
sporadic readings
no output signal
displaying wrong values
no indication
unexpected readings
not showing data
discrepant readings
displaying abnormal values
no signal detected
displaying anomalies
not showing correct values
not responding
display malfunction
reading errors
abnormal data display
showing erratic values
irregular readings
displaying error
reading deviating
showing irregular values
displaying inaccuracies
incorrect reading
reading out of range
fluctuating readings
signal distortion
defective display
glitchy display
abnormal reading pattern
not registering
abnormal sensor output
abnormal sensor behavior
random spikes
irregular fluctuations
reading glitchy
not displaying correctly
not functioning correctly
abnormal sensor response
unexpected sensor data
irregular sensor output
reading inconsistent
not displaying data
reading anomalies
reading fluctuating
abnormal display
fluctuating signal
spontaneous fluctuations
incorrect data output
erratic sensor output
aberrant reading
incorrect display
