shutdown irregularly
discontinuation suddenly
unplanned stoppage
disruptive stoppage
halt without prompt
discontinues operation
unintended stop
unforeseen cessation
halt without cause
cessation abruptly
unforeseen termination
stops unexpectedly
termination anomaly
uncommanded shutdown
disruption in operation
arbitrary cessation
unanticipated halt
randomly stops
unexpected shutdown
unplanned pause
uncalled stop
cessation of operation
abrupt stop
abnormal stop
unprompted stop
discontinue operation unexpectedly
cease operation
shuts down randomly
undesired shutdown
uncontrolled halt
discontinuation without notice
stoppage without explanation
unexplained cessation
unwanted stop
discontinuation unexpectedly
unexpected discontinuation
halts operation
unplanned halt
unanticipated cessation
stoppage without command
unintentional halt
intermittent shutdown
stoppage at random
shutdown without cause
unplanned discontinuation
termination without input
shutdown out of nowhere
termination with no cause
ceases functioning
unpredictable stoppage
stoppage out of nowhere
uncommanded stop
unplanned termination
stoppage without warning
halt without warning
shuts off randomly
unforeseen shutdown
unexplained halt
unplanned cessation
desist suddenly
power failure
unpredictable halt
unexplained interruption
unintentional stop
unplanned shutdown
sudden halt
operation stops suddenly
operation ceases randomly
unintended shutdown
unexpected termination
shutdown failure
arises sudden stop
unexpected pause
discontinuous operation
unexpected cease
arbitrary stop
unanticipated stoppage
uncommanded cessation
sporadic stoppage
uncontrolled stop
unforeseen stoppage
stops unanticipated
unforeseen discontinuation
