leak hazardous
dripping non-stop
seepage dangerously
dripping
dripping from top
leak jeopardizing
seepage posing threat
dripping unchecked
dripping jeopardizing
leak risk
dripping slowly
dripping dangerously
leak from bottom
seepage evident
seepage hazard
leak around seal
leak beyond repair
leak threatening
leak uncontainable
leak posing risk
seeping steadily
dripping riskily
leak dangerously
seepage jeopardizing
seepage danger
seeping
seepage observed
leak hazard
seepage increasing
leak detected
flow from crack
dripping risky
dripping hazardously
leak found
leak risky
seepage threatening
dripping perilously
leak from side
leak causing damage
seepage worsening
dripping profusely
seepage hazardous
dripping uncontrollably
seepage risky
leak spreading
constant drip
dripping rapidly
dripping incessantly
seepage in corner
dripping persistently
dripping constantly
seeping without end
seepage unstoppable
seeping through gap
seepage all over
leak near joint
