needs reattachment
slipping off
not snapping shut
requires revalidation
needs re-bonding
not retracting smoothly
needs attention
coming apart
requires retightening
requires replacement part
requires tightening inspection
requires lubrication
not engaging fully
needs rewelding
needs reconditioning
requires reevaluation
slipping down
not pivoting smoothly
needs revalidating
leaking slightly
not functioning properly
not retracting
needs repositioning
not aligning correctly
requires re-greasing
missing gasket
requires repositioning
requires recalibration
missing cover
not closing tightly
requires rewiring
missing clip
missing fastener
not aligned
missing element
needs calibration
missing cap
not retracting fully
missing component
coming loose
loose fitting
requires retesting
needs recalibration
not fitting snugly
not working intermittently
not holding pressure
requires reconditioning
requires reprogramming
missing section.
not centered
not snapping into place
not sliding smoothly
not locking securely
needs readjustment
requires resealing
not securing tightly
not fastening securely
needs recalibrating
requires reassembly
not latching securely
needs tightening
needs reevaluation
not connecting securely
not tightening properly
missing part
missing attachment
not engaging
needs reinstallation
needs greasing
missing link
requires rethreading
not aligning properly
needs sealing
not locking in place
worn out
requires realignment
needs retesting
not rotating smoothly
requires refurbishment
needs releveling
missing piece
needs rethreading
needs securing
not clamping properly
needs realignment
not seating properly
not sealing properly
requires adjustment
