"Randomly generated 100 observations for failure mode code NOI (Noise):
1. Grinding sound
2. Hissing noise
3. Rattling noise
4. Whining noise
5. Squeaking noise
6. Clanking noise
7. Buzzing noise
8. Knocking noise
9. Screeching noise
10. Ticking noise
11. Humming noise
12. Roaring noise
13. Clicking noise
14. Popping noise
15. Squealing noise
16. Chirping noise
17. Thumping noise
18. Sizzling noise
19. Crackling noise
20. Whooshing noise
21. Creaking noise
22. Gurgling noise
23. Grinding noise
24. Rustling noise
25. Moaning noise
26. Hissing sound
27. Rattling sound
28. Whining sound
29. Squeaking sound
30. Clanking sound
31. Buzzing sound
32. Knocking sound
33. Screeching sound
34. Ticking sound
35. Humming sound
36. Roaring sound
37. Clicking sound
38. Popping sound
39. Squealing sound
40. Chirping sound
41. Thumping sound
42. Sizzling sound
43. Crackling sound
44. Whooshing sound
45. Creaking sound
46. Gurgling sound
47. Grinding sound
48. Rustling sound
49. Moaning sound
50. Hissing noise
51. Rattling noise
52. Whining noise
53. Squeaking noise
54. Clanking noise
55. Buzzing noise
56. Knocking noise
57. Screeching noise
58. Ticking noise
59. Humming noise
60. Roaring noise
61. Clicking noise
62. Popping noise
63. Squealing noise
64. Chirping noise
65. Thumping noise
66. Sizzling noise
67. Crackling noise
68. Whooshing noise
69. Creaking noise
70. Gurgling noise
71. Grinding noise
72. Rustling noise
73. Moaning noise
74. Hissing sound
75. Rattling sound
76. Whining sound
77. Squeaking sound
78. Clanking sound
79. Buzzing sound
80. Knocking sound
81. Screeching sound
82. Ticking sound
83. Humming sound
84. Roaring sound
85. Clicking sound
86. Popping sound
87. Squealing sound
88. Chirping sound
89. Thumping sound
90. Sizzling sound
91. Crackling sound
92. Whooshing sound
93. Creaking sound
94. Gurgling sound
95. Grinding sound
96. Rustling sound
97. Moaning sound
98. Hissing noise
99. Rattling noise
100. Whining noise"
