failed to ignite
initiation error
unable to activate
non-responsive start
activation problem
cannot start
won't ignite
starting issue
won't activate
ignition problem
won't kick in
failed to start
launch failure
ignition fault
not responding
starting malfunction
ignition malfunction
starting trouble
failed activation
initiation breakdown
unsuccessful ignition
cannot begin
ignition trouble
won't engage
initiation issue
initiation failure
ignition defect
initiation fault
starting failure
won't initiate
non-starting issue
initiation trouble
unable to ignite
ignition failure
initiation malfunction
unsuccessful start
ignition error
failed to engage
no response
won't power up
no ignition
not starting up
unresponsive start
unable to turn on
lack of ignition
won't start up
ignition breakdown
ignition issue
start-up problem
no start
unable to start
starting problem
failed to activate
failed ignition
unable to begin
