Observation 49
Observation 10
Observation 40
Observation 95
Observation 55
Observation 43
Observation 99
Observation 54
Observation 5
Observation 34
Observation 7
Observation 50
Observation 70
Observation 13
Observation 56
Observation 65
Observation 1
Observation 100
Observation 26
Observation 39
Observation 14
Observation 17
Observation 19
Observation 57
Observation 18
Observation 87
Observation 31
Observation 12
Observation 30
Observation 86
Observation 21
Observation 47
Observation 23
Observation 46
Observation 51
Observation 67
Observation 6
Observation 91
Observation 79
Observation 36
Observation 81
Observation 4
Observation 80
Observation 64
Observation 92
Observation 62
Observation 28
Observation 2
Observation 74
Observation 78
Observation 11
Observation 29
Observation 60
Observation 35
Observation 82
Observation 45
Observation 94
Observation 8
Observation 20
Observation 33
Observation 98
Observation 42
Observation 96
Observation 83
Observation 88
Observation 89
Observation 22
Observation 9
Observation 85
Observation 73
Observation 68
Observation 15
Observation 24
Observation 58
Observation 77
Observation 16
Observation 61
Observation 72
Observation 41
Observation 25
Observation 71
Observation 66
Observation 52
Observation 75
Observation 32
Observation 63
Observation 93
Observation 44
Observation 48
Observation 37
Observation 84
Observation 53
Observation 38
Observation 59
Observation 27
Observation 69
Observation 76
Observation 97
Observation 3
Observation 90
