Expansions,Contractions
are not,aren't
because,'cause
cannot,can't
could have,could've
could not,couldn't
did not,didn't
do not,don't
does not,doesn't
had not,hadn't
has not,hasn't
have not,haven't
he is,he's
he will,he'll
he would,he'd
here is,here's
how did,how'd
how do you,how'd'y
how is,how's
how will,how'll
i am,i'm
i have,i've
i will,i'll
i will have,i'll've
i would,i'd
i would have,i'd've
is not,ain't
is not,isn't
it is,it's
it will,it'll
it will have,it'll've
it would,it'd
it would have,it'd've
let us,let's
madam,ma'am
may not,mayn't
might have,might've
might not,mightn't
might not have,mightn't've
must have,must've
must not,mustn't
must not have,mustn't've
need not,needn't
need not have,needn't've
of the clock,o'clock
ought not,oughtn't
ought not have,oughtn't've
shall not,shan't
shall not,sha'n't
shall not have,shan't've
she is,she's
she will,she'll
she will have,she'll've
she would,she'd
she would have,she'd've
should have,should've
should not,shouldn't
should not have,shouldn't've
so as,so's
so have,so've
that is,that's
that would,that'd
that would have,that'd've
there is,there's
there would,there'd
there would have,there'd've
they are,they're
they have,they've
they will,they'll
they will have,they'll've
they would,they'd
they would have,they'd've
this is,this's
to have,to've
was not,wasn't
we are,we're
we have,we've
we will,we'll
we will have,we'll've
we would,we'd
we would have,we'd've
were not,weren't
what are,what're
what have,what've
what is,what's
what will,what'll
what will have,what'll've
when have,when've
when is,when's
where did,where'd
where have,where've
where is,where's
who have,who've
who is,who's
who will,who'll
who will have,who'll've
why have,why've
why is,why's
will have,will've
will not,won't
will not have,won't've
would have,would've
would not,wouldn't
would not have,wouldn't've
you all,y'all
you all are,y'all're
you all have,y'all've
you all would,y'all'd
you all would have,y'all'd've
you are,you're
you have,you've
you will,you'll
you will have,you'll've
you would,you'd
you would have,you'd've
