not meeting flow
not performing
not reaching head
not delivering head
not maintaining pressure
not delivering pressure
not maintaining flow
not maintaining efficiency
running slow
not delivering standard
not delivering duty
not up to standard
not delivering flow
not reaching performance
not delivering
not reaching pressure
not delivering speed
not reaching level
not reaching speed
not holding pressure
not operating
not reaching efficiency
not giving head
not providing flow
not reaching standard
not reaching duty
not giving
not maintaining level
not delivering performance
not reaching flow
not giving pressure
not running
not maintaining
not giving performance
not pumping
not providing pressure
not reaching
not providing head
not achieving
not maintaining speed
doesn't pump
not giving flow
not meeting duty
not maintaining duty
